Altium Designer Pick and Place Locations
C:\Repo\cnc_projects\STM32F446CE_CNC_BOARD\Project Outputs for FLEXI_HAL_2000\FLEXI_HAL_2000_UPLOAD_GERBERS_A4\Pick Place\FLEXI_HAL_2000_CAM_OUTPUT_A4.txt

========================================================================================================================
File Design Information:

Date:       03-08-22
Time:       11:32
Revision:   3607a5cc18939c10a6c6433affdf817dc8ca3d51
Variant:    FULL_PLACE
Units used: mil

Designator Comment                                     Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                      
Logo2      "Expatria Technologies"                     TopLayer    Expatria-Logo                 3952.302      2020.019      315      ""                                                                                                               
R1         "0O ±1%"                                    TopLayer    0603_R                        1830.709      1569.882      90       "Chip resistor"                                                                                                  
P7         "Header 2X2"                                TopLayer    HDR2X2                        3726.181      492.913       90       "Header, 2-Pin, Dual row"                                                                                        
J4         WJ15EDGVC-3.5-3P                            TopLayer    691321100003_-_3.5mm__3p      4883.858      713.583       90       "Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"             
C16        1uF                                         TopLayer    0603_C                        4493.110      693.898       0        "Chip capacitors"                                                                                                
R89        "560O ±1%"                                  TopLayer    0603_R                        4493.110      541.339       180      "Chip resistor"                                                                                                  
C8         100nF                                       TopLayer    0603_C                        3238.189      1609.252      90       "Chip capacitors"                                                                                                
C7         100nF                                       TopLayer    0603_C                        2775.591      1624.016      180      "Chip capacitors"                                                                                                
Logo1      "Expatria Technologies"                     BottomLayer Expatria-Logo                 1687.108      2514.301      180      ""                                                                                                               
FID3       Fiducial                                    TopLayer    Fiducial10-20                 2253.937      290.354       0        "FIDUCIAL NO ASSEMBLY"                                                                                           
FID2       Fiducial                                    TopLayer    Fiducial10-20                 3267.716      1422.244      0        "FIDUCIAL NO ASSEMBLY"                                                                                           
FID1       Fiducial                                    TopLayer    Fiducial10-20                 354.331       3499.016      0        "FIDUCIAL NO ASSEMBLY"                                                                                           
J11        "2 way net solder junction - Normally Open" BottomLayer 2waySolder_NO                 846.457       437.992       0        "2 way net solder junction - Normally Open"                                                                      
J10        "2 way net solder junction - Normally Open" BottomLayer 2waySolder_NO                 846.457       334.646       0        "2 way net solder junction - Normally Open"                                                                      
J1         WJ15EDGVC-3.5-3P                            TopLayer    691321100003_-_3.5mm__3p      3690.945      2608.268      180      "Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"             
J2         WJ15EDGVC-3.5-3P                            TopLayer    691321100003_-_3.5mm__3p      3213.583      2608.268      180      "Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"             
J3_LS_A    WJ15EDGVC-3.5-3P                            TopLayer    691321100003_-_3.5mm__3p      2002.953      3877.953      180      "Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"             
J3_LS_B    WJ15EDGVC-3.5-3P                            TopLayer    691321100003_-_3.5mm__3p      2480.315      3877.953      180      "Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"             
J3_LS_X    WJ15EDGVC-3.5-3P                            TopLayer    691321100003_-_3.5mm__3p      570.866       3877.953      180      "Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"             
J3_LS_Y    WJ15EDGVC-3.5-3P                            TopLayer    691321100003_-_3.5mm__3p      1048.228      3877.953      180      "Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"             
J3_LS_Z    WJ15EDGVC-3.5-3P                            TopLayer    691321100003_-_3.5mm__3p      1525.591      3877.953      180      "Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"             
J3_PH_CY   WJ15EDGVC-3.5-3P                            TopLayer    691321100003_-_3.5mm__3p      4389.764      3877.953      180      "Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"             
J3_PH_DR   WJ15EDGVC-3.5-3P                            TopLayer    691321100003_-_3.5mm__3p      2957.677      3877.953      180      "Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"             
J3_PH_FD   WJ15EDGVC-3.5-3P                            TopLayer    691321100003_-_3.5mm__3p      3912.401      3877.953      180      "Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"             
J3_PH_HLT  WJ15EDGVC-3.5-3P                            TopLayer    691321100003_-_3.5mm__3p      3435.039      3877.953      180      "Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"             
J9         5555799-1                                   TopLayer    FP-5555799-1-MFG              2511.220      3033.661      180      "CONN MOD JACK 8P8C VERT UNSHLD"                                                                                 
J12        5555799-1                                   TopLayer    FP-5555799-1-MFG              3295.472      3033.661      180      "CONN MOD JACK 8P8C VERT UNSHLD"                                                                                 
R82        "1KO ±1%"                                   TopLayer    0603_R                        4601.378      3562.992      0        "Chip resistor"                                                                                                  
R81        "1KO ±1%"                                   TopLayer    0603_R                        4468.504      3562.992      180      "Chip resistor"                                                                                                  
R77        "1KO ±1%"                                   TopLayer    0603_R                        4537.401      2583.662      180      "Chip resistor"                                                                                                  
R56        "1KO ±1%"                                   TopLayer    0603_R                        4537.401      2662.402      180      "Chip resistor"                                                                                                  
FUSE3      "24V 1A"                                    TopLayer    1206_C                        4187.992      2180.118      270      "24V 1A 0.1s 1206 PTC Resettable Fuses RoHS"                                                                     
D27        SMAZ27-13-F                                 TopLayer    DIOM5226X240N                 4517.717      1973.425      90       "27V ±5% 1W 500nA @ 20.5V SMA(DO-214AC) Zener Diodes RoHS"                                                       
U26        EL357N(B)(TA)-G                             TopLayer    SOP-4_P2.54                   3523.622      2150.591      0        "Optocoupler SOP-4, EL357N(B)(TA)-G, Everlight Electronics"                                                      
U25        EL357N(B)(TA)-G                             TopLayer    SOP-4_P2.54                   3523.622      1968.504      0        "Optocoupler SOP-4, EL357N(B)(TA)-G, Everlight Electronics"                                                      
U24        EL357N(B)(TA)-G                             TopLayer    SOP-4_P2.54                   3523.622      1791.339      0        "Optocoupler SOP-4, EL357N(B)(TA)-G, Everlight Electronics"                                                      
U18        EL357N(B)(TA)-G                             TopLayer    SOP-4_P2.54                   3523.622      1614.173      0        "Optocoupler SOP-4, EL357N(B)(TA)-G, Everlight Electronics"                                                      
R76        "1KO ±1%"                                   TopLayer    0603_R                        4349.606      2583.661      0        "Chip resistor"                                                                                                  
R75        "510O ±1%"                                  TopLayer    0603_R                        3316.929      1791.339      90       "Chip resistor"                                                                                                  
R73        "1KO ±1%"                                   TopLayer    0603_R                        4350.394      2509.843      0        "Chip resistor"                                                                                                  
R70        "1KO ±1%"                                   TopLayer    0603_R                        4350.394      2731.299      0        "Chip resistor"                                                                                                  
R69        "510O ±1%"                                  TopLayer    0603_R                        3316.929      2155.512      90       "Chip resistor"                                                                                                  
R66        "1KO ±1%"                                   TopLayer    0603_R                        4350.394      2657.480      0        "Chip resistor"                                                                                                  
R65        "510O ±1%"                                  TopLayer    0603_R                        3316.929      1609.252      90       "Chip resistor"                                                                                                  
R60        "510O ±1%"                                  TopLayer    0603_R                        3316.929      1963.583      90       "Chip resistor"                                                                                                  
Q8         "AO3400A N"                                 TopLayer    SOT-23-3L                     4527.559      3459.646      180      MOS(????)                                                                                                        
Q6         "AO3400A N"                                 TopLayer    SOT-23-3L                     4527.559      3252.953      180      MOS(????)                                                                                                        
Q5         "AO3400A N"                                 TopLayer    SOT-23-3L                     4527.559      3046.260      180      MOS(????)                                                                                                        
Q3         "AO3400A N"                                 TopLayer    SOT-23-3L                     4527.559      2839.567      180      MOS(????)                                                                                                        
P29        WJ15EDGVC-3.5-2P                            TopLayer    691321100002                  4885.039      3321.850      90       "Header,Male Pin,Covered(4 Sided) 2 1 0.138"(3.50mm) 2 P=3.5mm Pluggable System Terminal Block RoHS"             
P28        WJ15EDGVC-3.5-2P                            TopLayer    691321100002                  4885.039      2982.284      90       "Header,Male Pin,Covered(4 Sided) 2 1 0.138"(3.50mm) 2 P=3.5mm Pluggable System Terminal Block RoHS"             
